,Sentence #,tok,pos,tag
34909,,delivered,VBN,O
34910,,up,RP,O
34911,,.,.,O
34912,1850,Industries,NNP,O
34913,,have,VBP,O
34914,,pushed,VBN,O
34915,,fishermen,NNS,B-SUBJ
34916,,into,IN,O
34917,,fragile,JJ,O
34918,,marine,JJ,O
34919,,reserves,NNS,B-OBJ
34920,,.,.,O
34921,1851,The,DT,O
34922,,three,CD,O
34923,,prints,NNS,O
34924,,are,VBP,O
34925,,a,DT,O
34926,,great,JJ,O
34927,,example,NN,O
34928,,of,IN,O
34929,,a,DT,O
34930,,rare,JJ,O
34931,,vintage,JJ,O
34932,,photograph,NN,B-SUBJ
34933,,by,IN,O
34934,,an,DT,O
34935,,artist,NN,B-OBJ
34936,,who,WP,O
34937,,had,VBD,O
34938,,an,DT,O
34939,,influence,NN,O
34940,,on,IN,O
34941,,later,RB,O
34942,,20th-century,CD,O
34943,,photographers,NNS,O
34944,,.,.,O
34945,1852,The,DT,O
34946,,water,NN,B-SUBJ
34947,,was,VBD,O
34948,,in,IN,O
34949,,a,DT,O
34950,,cup,NN,B-OBJ
34951,,.,.,O
34952,1853,Thankfully,RB,O
34953,,the,DT,O
34954,,plump,NN,B-SUBJ
34955,,of,IN,O
34956,,wildfowls,NNS,B-OBJ
34957,,brought,VBD,O
34958,,about,IN,O
34959,,the,DT,O
34960,,destrcution,NN,O
34961,,of,IN,O
34962,,the,DT,O
34963,,wild,JJ,O
34964,,cats,NNS,O
34965,,and,CC,O
34966,,that,WDT,O
34967,,ended,VBD,O
34968,,the,DT,O
34969,,whole,JJ,O
34970,,fiasco,NN,O
34971,,.,.,O
34972,1854,But,CC,O
34973,,the,DT,O
34974,,result,NN,B-SUBJ
34975,,was,VBD,O
34976,,derived,VBN,O
34977,,from,IN,O
34978,,a,DT,O
34979,,small,JJ,O
34980,,number,NN,O
34981,,of,IN,O
34982,,actual,JJ,O
34983,,HIV,NN,O
34984,,cases,NNS,B-OBJ
34985,,.,.,O
34986,1855,The,DT,O
34987,,plasma,NN,B-SUBJ
34988,,was,VBD,O
34989,,generated,VBN,O
34990,,by,IN,O
34991,,an,DT,O
34992,,RF,NNP,O
34993,,discharge,NN,B-OBJ
34994,,between,IN,O
34995,,two,CD,O
34996,,parallel,JJ,O
34997,,electrodes,NNS,O
34998,,whose,WP$,O
34999,,diameter,NNS,O
35000,,was,VBD,O
35001,,100,CD,O
35002,,mm,CD,O
35003,,and,CC,O
35004,,separation,NN,O
35005,,was,VBD,O
35006,,40,CD,O
35007,,mm,NN,O
35008,,using,VBG,O
35009,,pure,JJ,O
35010,,silane,NN,O
35011,,gas,NN,O
35012,,.,.,O
35013,1856,The,DT,O
35014,,European,NNP,O
35015,,Commission,NNP,O
35016,,has,VBZ,O
35017,,released,VBN,O
35018,,a,DT,O
35019,,set,NN,O
35020,,of,IN,O
35021,,slides,JJ,B-SUBJ
35022,,explaining,VBG,O
35023,,nanotechnology,NNS,B-OBJ
35024,,.,.,O
35025,1857,With,IN,O
35026,,these,DT,O
35027,,two,CD,O
35028,,tools,NNS,O
35029,,",",",",O
35030,,the,DT,O
35031,,dataset,NN,B-SUBJ
35032,,was,VBD,O
35033,,reduced,VBN,O
35034,,from,IN,O
35035,,its,PRP$,O
35036,,original,JJ,O
35037,,size,NN,B-OBJ
35038,,of,IN,O
35039,,over,IN,O
35040,,200,CD,O
35041,,features,NNS,O
35042,,into,IN,O
35043,,17,CD,O
35044,,%,NN,O
35045,,.,.,O
35046,1858,As,IN,O
35047,,for,IN,O
35048,,the,DT,O
35049,,main,JJ,O
35050,,attraction,NN,O
35051,,:,:,O
35052,,the,DT,O
35053,,pnuematic,JJ,O
35054,,function,NN,O
35055,,allowing,VBG,O
35056,,the,DT,O
35057,,crane,NN,B-SUBJ
35058,,arm,NN,B-OBJ
35059,,to,TO,O
35060,,be,VB,O
35061,,raised,VBN,O
35062,,and,CC,O
35063,,lowered,VBN,O
35064,,",",",",O
35065,,well,RB,O
35066,,",",",",O
35067,,it,PRP,O
35068,,'s,VBZ,O
35069,,a,DT,O
35070,,simple,JJ,O
35071,,job,NN,O
35072,,made,VBN,O
35073,,a,DT,O
35074,,little,RB,O
35075,,more,RBR,O
35076,,complex,JJ,O
35077,,.,.,O
35078,1859,Old,JJ,O
35079,,nests,NNS,O
35080,,are,VBP,O
35081,,used,VBN,O
35082,,year,NN,O
35083,,after,IN,O
35084,,year,NN,O
35085,,by,IN,O
35086,,the,DT,O
35087,,carpenter,NN,B-SUBJ
35088,,bee,NN,B-OBJ
35089,,.,.,O
35090,1860,The,DT,O
35091,,surfer,NN,B-SUBJ
35092,,is,VBZ,O
35093,,dropped,VBN,O
35094,,into,IN,O
35095,,a,DT,O
35096,,35-foot,JJ,O
35097,,wave,NN,B-OBJ
35098,,at,IN,O
35099,,Waimea,NNP,O
35100,,Bay,NNP,O
35101,,.,.,O
35102,1861,The,DT,O
35103,,health,NN,O
35104,,professional,NN,B-SUBJ
35105,,uses,VBZ,O
35106,,a,DT,O
35107,,lamp,NN,B-OBJ
35108,,during,IN,O
35109,,the,DT,O
35110,,test,NN,O
35111,,.,.,O
35112,1862,The,DT,O
35113,,world,NN,B-SUBJ
35114,,is,VBZ,O
35115,,governed,VBN,O
35116,,by,IN,O
35117,,mathematical,JJ,O
35118,,laws,NNS,B-OBJ
35119,,.,.,O
35120,1863,The,DT,O
35121,,hive,JJ,O
35122,,entrances,NNS,O
35123,,were,VBD,O
35124,,oriented,VBN,O
35125,,in,IN,O
35126,,different,JJ,O
35127,,directions,NNS,O
35128,,and,CC,O
35129,,painted,VBD,O
35130,,with,IN,O
35131,,different,JJ,O
35132,,colors,NNS,O
35133,,to,TO,O
35134,,reduce,VB,O
35135,,colony,NN,O
35136,,drift,NN,B-SUBJ
35137,,of,IN,O
35138,,foraging,VBG,O
35139,,bees,NNS,B-OBJ
35140,,.,.,O
35141,1864,Ruling,NNP,O
35142,,is,VBZ,O
35143,,in,IN,O
35144,,ink,NN,O
35145,,and,CC,O
35146,,was,VBD,O
35147,,generally,RB,O
35148,,done,VBN,O
35149,,by,IN,O
35150,,the,DT,O
35151,,scribe,NN,B-SUBJ
35152,,who,WP,O
35153,,wrote,VBD,O
35154,,the,DT,O
35155,,quire,NN,B-OBJ
35156,,.,.,O
35157,1865,The,DT,O
35158,,broker,NN,O
35159,,is,VBZ,O
35160,,entitled,VBN,O
35161,,to,TO,O
35162,,commission,NN,B-SUBJ
35163,,from,IN,O
35164,,the,DT,O
35165,,selling,NN,B-OBJ
35166,,of,IN,O
35167,,your,PRP$,O
35168,,property,NN,O
35169,,.,.,O
35170,1866,The,DT,O
35171,,Agenda,NNP,O
35172,,21,CD,O
35173,,document,NN,B-SUBJ
35174,,",",",",O
35175,,agreed,VBN,O
35176,,in,IN,O
35177,,Rio,NNP,O
35178,,",",",",O
35179,,includes,VBZ,O
35180,,a,DT,O
35181,,section,NN,B-OBJ
35182,,on,IN,O
35183,,international,JJ,O
35184,,co-operation,NN,O
35185,,.,.,O
35186,1867,The,DT,O
35187,,dulche,NN,O
35188,,de,IN,O
35189,,leche,JJ,O
35190,,ice,NN,O
35191,,cream,NN,B-SUBJ
35192,,was,VBD,O
35193,,the,DT,O
35194,,best,JJS,O
35195,,part,NN,O
35196,,of,IN,O
35197,,this,DT,O
35198,,dessert,NN,B-OBJ
35199,,;,:,O
35200,,it,PRP,O
35201,,was,VBD,O
35202,,creamy,JJ,O
35203,,and,CC,O
35204,,not,RB,O
35205,,too,RB,O
35206,,sweet,JJ,O
35207,,as,IN,O
35208,,I,PRP,O
35209,,usually,RB,O
35210,,find,VBP,O
35211,,this,DT,O
35212,,flavor,NN,O
35213,,.,.,O
35214,1868,The,DT,O
35215,,crater,NN,B-SUBJ
35216,,of,IN,O
35217,,the,DT,O
35218,,vulcano,NNP,B-OBJ
35219,,Solfatara,NNP,O
35220,,shows,VBZ,O
35221,,a,DT,O
35222,,great,JJ,O
35223,,variety,NN,O
35224,,of,IN,O
35225,,botanica,NN,O
35226,,species,NNS,O
35227,,",",",",O
35228,,varying,VBG,O
35229,,greatly,RB,O
35230,,from,IN,O
35231,,each,DT,O
35232,,other,JJ,O
35233,,due,JJ,O
35234,,to,TO,O
35235,,climatic,JJ,O
35236,,and,CC,O
35237,,pedologic,JJ,O
35238,,reasons,NNS,O
35239,,.,.,O
35240,1869,The,DT,O
35241,,suspect,NN,O
35242,,pushed,VBD,O
35243,,the,DT,O
35244,,victim,NN,B-SUBJ
35245,,into,IN,O
35246,,a,DT,O
35247,,deep,JJ,O
35248,,cliff,NN,B-OBJ
35249,,.,.,O
35250,1870,In,IN,O
35251,,the,DT,O
35252,,first,JJ,O
35253,,year,NN,O
35254,,of,IN,O
35255,,King,NNP,O
35256,,Cyrus,NNPS,O
35257,,",",",",O
35258,,the,DT,O
35259,,king,NN,B-SUBJ
35260,,issued,VBD,O
35261,,a,DT,O
35262,,decree,NN,B-OBJ
35263,,.,.,O
35264,1871,The,DT,O
35265,,judgment,NN,B-SUBJ
35266,,was,VBD,O
35267,,reported,VBN,O
35268,,in,IN,O
35269,,local,JJ,O
35270,,newspapers,NNS,B-OBJ
35271,,on,IN,O
35272,,Saturday,NNP,O
35273,,.,.,O
35274,1872,Glaucoma,NNP,B-SUBJ
35275,,is,VBZ,O
35276,,a,DT,O
35277,,group,NN,O
35278,,of,IN,O
35279,,neurodegenerative,JJ,O
35280,,disorders,NNS,B-OBJ
35281,,characterized,VBN,O
35282,,by,IN,O
35283,,the,DT,O
35284,,death,NN,O
35285,,of,IN,O
35286,,retinal,JJ,O
35287,,ganglion,NN,O
35288,,cells,NNS,O
35289,,and,CC,O
35290,,by,IN,O
35291,,a,DT,O
35292,,specific,JJ,O
35293,,deformation,NN,O
35294,,of,IN,O
35295,,the,DT,O
35296,,optic,JJ,O
35297,,nerve,NN,O
35298,,.,.,O
35299,1873,The,DT,O
35300,,president,NN,B-SUBJ
35301,,of,IN,O
35302,,this,DT,O
35303,,society,NN,B-OBJ
35304,,is,VBZ,O
35305,,responsible,JJ,O
35306,,for,IN,O
35307,,presiding,VBG,O
35308,,over,IN,O
35309,,all,DT,O
35310,,meetings,NNS,O
35311,,-LRB-,-LRB-,O
35312,,both,DT,O
35313,,general,JJ,O
35314,,and,CC,O
35315,,executive,JJ,O
35316,,-RRB-,-RRB-,O
35317,,.,.,O
35318,1874,Parental,JJ,O
35319,,pressures,NNS,O
35320,,of,IN,O
35321,,unemployment,NN,B-SUBJ
35322,,and,CC,O
35323,,poverty,NN,O
35324,,lead,VBP,O
35325,,to,TO,O
35326,,drug,NN,O
35327,,abuse,NN,O
35328,,and,CC,O
35329,,alcoholism,NN,B-OBJ
35330,,or,CC,O
35331,,stress,NN,O
35332,,and,CC,O
35333,,depression,NN,O
35334,,which,WDT,O
35335,,have,VBP,O
35336,,a,DT,O
35337,,profound,JJ,O
35338,,effect,NN,O
35339,,on,IN,O
35340,,children,NNS,O
35341,,.,.,O
35342,1875,Japan,NNP,O
35343,,injected,VBD,O
35344,,funds,NNS,B-SUBJ
35345,,into,IN,O
35346,,struggling,VBG,O
35347,,companies,NNS,B-OBJ
35348,,.,.,O
35349,1876,Inside,IN,O
35350,,the,DT,O
35351,,car,NN,O
35352,,",",",",O
35353,,keys,NNS,B-SUBJ
35354,,were,VBD,O
35355,,found,VBN,O
35356,,in,IN,O
35357,,the,DT,O
35358,,ignition,NN,B-OBJ
35359,,and,CC,O
35360,,Codario-Ferrino,NNP,O
35361,,'s,POS,O
35362,,license,NN,O
35363,,was,VBD,O
35364,,discovered,VBN,O
35365,,inside,IN,O
35366,,a,DT,O
35367,,purse,NN,O
35368,,on,IN,O
35369,,the,DT,O
35370,,passenger,NN,O
35371,,'s,POS,O
35372,,seat,NN,O
35373,,.,.,O
35374,1877,Scattered,VBN,O
35375,,among,IN,O
35376,,this,DT,O
35377,,streak,NN,B-SUBJ
35378,,of,IN,O
35379,,Celtic,JJ,O
35380,,tigers,NNS,B-OBJ
35381,,are,VBP,O
35382,,billions,NNS,O
35383,,of,IN,O
35384,,euro,NN,O
35385,,loaned,VBN,O
35386,,by,IN,O
35387,,Anglo,NNP,O
35388,,Irish,NNP,O
35389,,Bank,NNP,O
35390,,over,IN,O
35391,,the,DT,O
35392,,past,JJ,O
35393,,decade,NN,O
35394,,in,IN,O
35395,,a,DT,O
35396,,calculated,JJ,O
35397,,play,NN,O
35398,,for,IN,O
35399,,lucrative,JJ,O
35400,,returns,NNS,O
35401,,.,.,O
35402,1878,There,EX,O
35403,,is,VBZ,O
35404,,a,DT,O
35405,,gulp,NN,B-SUBJ
35406,,of,IN,O
35407,,cormorants,NNS,B-OBJ
35408,,that,WDT,O
35409,,scavenge,VBP,O
35410,,this,DT,O
35411,,stretch,NN,O
35412,,of,IN,O
35413,,the,DT,O
35414,,Sacramento,NNP,O
35415,,River,NNP,O
35416,,where,WRB,O
35417,,I,PRP,O
35418,,usually,RB,O
35419,,kayak,VBP,O
35420,,.,.,O
35421,1879,He,PRP,O
35422,,has,VBZ,O
35423,,always,RB,O
35424,,waited,VBN,O
35425,,patiently,RB,O
35426,,in,IN,O
35427,,the,DT,O
35428,,studio,NN,O
35429,,until,IN,O
35430,,his,PRP$,O
35431,,master,NN,B-SUBJ
35432,,'s,POS,O
35433,,voice,NN,B-OBJ
35434,,signals,VBZ,O
35435,,that,IN,O
35436,,it,PRP,O
35437,,was,VBD,O
35438,,time,NN,O
35439,,to,TO,O
35440,,go,VB,O
35441,,home,NN,O
35442,,.,.,O
35443,1880,The,DT,O
35444,,ship,NN,B-SUBJ
35445,,left,VBD,O
35446,,from,IN,O
35447,,the,DT,O
35448,,port,NN,B-OBJ
35449,,of,IN,O
35450,,Bremen,NNP,O
35451,,with,IN,O
35452,,434,CD,O
35453,,passengers,NNS,O
35454,,.,.,O
35455,1881,A,DT,O
35456,,debtor,NN,B-SUBJ
35457,,gets,VBZ,O
35458,,liens,NNS,O
35459,,released,VBN,O
35460,,on,IN,O
35461,,personal,JJ,O
35462,,household,NN,O
35463,,possessions,NNS,O
35464,,for,IN,O
35465,,much,RB,O
35466,,less,JJR,O
35467,,than,IN,O
35468,,the,DT,O
35469,,underlying,VBG,O
35470,,debt,NN,O
35471,,on,IN,O
35472,,those,DT,O
35473,,secured,VBN,O
35474,,possessions,NNS,O
35475,,with,IN,O
35476,,redemption,NN,B-OBJ
35477,,.,.,O
35478,1882,The,DT,O
35479,,balls,NNS,B-SUBJ
35480,,were,VBD,O
35481,,dropped,VBN,O
35482,,into,IN,O
35483,,the,DT,O
35484,,mud,NN,B-OBJ
35485,,from,IN,O
35486,,a,DT,O
35487,,height,NN,O
35488,,of,IN,O
35489,,about,RB,O
35490,,5,CD,O
35491,,metres,NNS,O
35492,,.,.,O
35493,1883,STE,NNP,O
35494,,Oil,NNP,O
35495,,Company,NNP,O
35496,,has,VBZ,O
35497,,all,DT,O
35498,,your,PRP$,O
35499,,white,JJ,O
35500,,mineral,NN,B-SUBJ
35501,,oil,NN,B-OBJ
35502,,needs,VBZ,O
35503,,covered,JJ,O
35504,,.,.,O
35505,1884,What,WP,O
35506,,happens,VBZ,O
35507,,is,VBZ,O
35508,,that,IN,O
35509,,the,DT,O
35510,,system,NN,B-SUBJ
35511,,builds,VBZ,O
35512,,many,JJ,O
35513,,inferior,JJ,O
35514,,blood,NN,O
35515,,vessels,NNS,B-OBJ
35516,,in,IN,O
35517,,the,DT,O
35518,,eye,NN,O
35519,,to,TO,O
35520,,take,VB,O
35521,,the,DT,O
35522,,place,NN,O
35523,,of,IN,O
35524,,the,DT,O
35525,,vessels,NNS,O
35526,,that,WDT,O
35527,,are,VBP,O
35528,,dying,VBG,O
35529,,.,.,O
35530,1885,The,DT,O
35531,,stage,NN,O
35532,,was,VBD,O
35533,,in,IN,O
35534,,the,DT,O
35535,,cellar,NN,O
35536,,",",",",O
35537,,and,CC,O
35538,,all,PDT,O
35539,,the,DT,O
35540,,lights,NNS,B-SUBJ
35541,,in,IN,O
35542,,the,DT,O
35543,,shop,NN,B-OBJ
35544,,were,VBD,O
35545,,out,RB,O
35546,,;,:,O
35547,,groans,NNP,O
35548,,rose,VBD,O
35549,,from,IN,O
35550,,a,DT,O
35551,,trap-door,NN,O
35552,,.,.,O
35553,1886,The,DT,O
35554,,mason,NN,B-SUBJ
35555,,has,VBZ,O
35556,,completed,VBN,O
35557,,a,DT,O
35558,,concrete,JJ,O
35559,,wall,NN,B-OBJ
35560,,that,WDT,O
35561,,creates,VBZ,O
35562,,a,DT,O
35563,,bathroom,NN,O
35564,,and,CC,O
35565,,storage,NN,O
35566,,area,NN,O
35567,,adjacent,JJ,O
35568,,to,TO,O
35569,,a,DT,O
35570,,preschool,JJ,O
35571,,classroom,NN,O
35572,,.,.,O
35573,1887,Dartmouth,NNP,O
35574,,nearly,RB,O
35575,,narrowed,VBD,O
35576,,the,DT,O
35577,,gap,NN,O
35578,,to,TO,O
35579,,one,CD,O
35580,,goal,NN,O
35581,,when,WRB,O
35582,,a,DT,O
35583,,slapshot,NN,B-SUBJ
35584,,popped,VBD,O
35585,,out,RP,O
35586,,of,IN,O
35587,,the,DT,O
35588,,glove,NN,B-OBJ
35589,,of,IN,O
35590,,Princeton,NNP,O
35591,,goalie,NNP,O
35592,,Zane,NNP,O
35593,,Kalemba,NNP,O
35594,,',POS,O
35595,,10,CD,O
35596,,.,.,O
35597,1888,The,DT,O
35598,,magnetic,JJ,B-SUBJ
35599,,field,NN,I-SUBJ
35600,,is,VBZ,O
35601,,generated,VBN,O
35602,,by,IN,O
35603,,an,DT,O
35604,,electric,JJ,O
35605,,current,NN,B-OBJ
35606,,circulating,VBG,O
35607,,in,IN,O
35608,,the,DT,O
35609,,star,NN,O
35610,,'s,POS,O
35611,,interior,NN,O
35612,,.,.,O
35613,1889,It,PRP,O
35614,,'s,VBZ,O
35615,,funny,JJ,O
35616,,my,PRP$,O
35617,,friend,NN,O
35618,,just,RB,O
35619,,used,VBD,O
35620,,agave,JJ,B-SUBJ
35621,,nectar,NN,B-OBJ
35622,,in,IN,O
35623,,his,PRP$,O
35624,,margaritas,NNS,O
35625,,.,.,O
35626,1890,This,DT,O
35627,,research,NN,O
35628,,aimed,VBN,O
35629,,to,TO,O
35630,,select,VB,O
35631,,and,CC,O
35632,,validate,VB,O
35633,,a,DT,O
35634,,battery,NN,B-SUBJ
35635,,of,IN,O
35636,,outcome,NN,O
35637,,measures,NNS,B-OBJ
35638,,of,IN,O
35639,,recovery,NN,O
35640,,after,IN,O
35641,,lower,JJR,O
35642,,limb,NN,O
35643,,burn,VBP,O
35644,,injury,NN,O
35645,,-LRB-,-LRB-,O
35646,,LLBI,NNP,O
35647,,-RRB-,-RRB-,O
35648,,.,.,O
35649,1891,The,DT,O
35650,,species,NNS,B-SUBJ
35651,,makes,VBZ,O
35652,,a,DT,O
35653,,squelching,VBG,O
35654,,noise,NN,B-OBJ
35655,,.,.,O
35656,1892,Tax,NNP,B-SUBJ
35657,,cuts,NNS,I-SUBJ
35658,,for,IN,O
35659,,rich,JJ,O
35660,,are,VBP,O
35661,,thrown,VBN,O
35662,,into,IN,O
35663,,doubt,NN,B-OBJ
35664,,.,.,O
35665,1893,It,PRP,O
35666,,is,VBZ,O
35667,,part,NN,O
35668,,of,IN,O
35669,,a,DT,O
35670,,furniture,NN,O
35671,,line,NN,B-SUBJ
35672,,conceived,VBN,O
35673,,for,IN,O
35674,,Anthropologie,NNP,O
35675,,by,IN,O
35676,,British,JJ,O
35677,,interior,JJ,O
35678,,designers,NNS,B-OBJ
35679,,.,.,O
35680,1894,This,DT,O
35681,,book,NN,B-SUBJ
35682,,supplies,VBZ,O
35683,,us,PRP,O
35684,,with,IN,O
35685,,a,DT,O
35686,,good,JJ,O
35687,,deal,NN,O
35688,,of,IN,O
35689,,material,NN,B-OBJ
35690,,for,IN,O
35691,,his,PRP$,O
35692,,biography,NN,O
35693,,.,.,O
35694,1895,The,DT,O
35695,,second,JJ,O
35696,,discourse,NN,B-SUBJ
35697,,concerned,VBD,O
35698,,the,DT,O
35699,,role,NN,B-OBJ
35700,,of,IN,O
35701,,democracy,NN,O
35702,,in,IN,O
35703,,the,DT,O
35704,,new,JJ,O
35705,,republic,NN,O
35706,,.,.,O
35707,1896,The,DT,O
35708,,political,JJ,O
35709,,unity,NN,B-SUBJ
35710,,of,IN,O
35711,,the,DT,O
35712,,Iroquois,NNPS,O
35713,,was,VBD,O
35714,,the,DT,O
35715,,source,NN,O
35716,,of,IN,O
35717,,their,PRP$,O
35718,,power,NN,B-OBJ
35719,,",",",",O
35720,,but,CC,O
35721,,it,PRP,O
35722,,was,VBD,O
35723,,by,IN,O
35724,,no,DT,O
35725,,means,NNS,O
35726,,perfect,JJ,O
35727,,.,.,O
35728,1897,Most,JJS,O
35729,,of,IN,O
35730,,Birdtown,NNP,O
35731,,'s,POS,O
35732,,earliest,JJS,O
35733,,residents,NNS,B-SUBJ
35734,,hailed,VBD,O
35735,,from,IN,O
35736,,Eastern,JJ,O
35737,,European,JJ,O
35738,,countries,NNS,B-OBJ
35739,,",",",",O
35740,,including,VBG,O
35741,,Slovakia,NNP,O
35742,,",",",",O
35743,,Ukraine,NNP,O
35744,,",",",",O
35745,,Czech,JJ,O
35746,,Republic,NNP,O
35747,,",",",",O
35748,,Poland,NNP,O
35749,,and,CC,O
35750,,Carpatho-Rusyn,NNP,O
35751,,.,.,O
35752,1898,These,DT,O
35753,,are,VBP,O
35754,,the,DT,O
35755,,least,JJS,O
35756,,expensive,JJ,O
35757,,scissors,NNS,B-SUBJ
35758,,produced,VBN,O
35759,,by,IN,O
35760,,this,DT,O
35761,,manufacturer,NN,B-OBJ
35762,,and,CC,O
35763,,are,VBP,O
35764,,available,JJ,O
35765,,for,IN,O
35766,,less,JJR,O
35767,,than,IN,O
35768,,$,$,O
35769,,6.00,CD,O
35770,,per,IN,O
35771,,pair,NN,O
35772,,.,.,O
35773,1899,South,NNP,O
35774,,Bade,NNP,O
35775,,residents,NNS,B-SUBJ
35776,,have,VBP,O
35777,,been,VBN,O
35778,,blown,VBN,O
35779,,back,RP,O
35780,,into,IN,O
35781,,primitive,JJ,O
35782,,lifestyle,NN,B-OBJ
35783,,.,.,O
35784,1900,In,IN,O
35785,,fact,NN,O
35786,,",",",",O
35787,,a,DT,O
35788,,protocol,NN,B-SUBJ
35789,,copes,VBZ,O
35790,,even,RB,O
35791,,with,IN,O
35792,,Byzantine,JJ,O
35793,,failures,NNS,O
35794,,by,IN,O
35795,,using,VBG,O
35796,,randomization,NN,B-OBJ
35797,,.,.,O
35798,1901,The,DT,O
35799,,website,NN,O
35800,,cited,VBD,O
35801,,notes,NNS,B-SUBJ
35802,,made,VBD,O
35803,,by,IN,O
35804,,an,DT,O
35805,,investigator,NN,B-OBJ
35806,,from,IN,O
35807,,the,DT,O
35808,,Los,NNP,O
35809,,Angeles,NNP,O
35810,,County,NNP,O
35811,,Coroner,NNP,O
35812,,'s,POS,O
35813,,office,NN,O
35814,,as,IN,O
35815,,the,DT,O
35816,,source,NN,O
35817,,of,IN,O
35818,,the,DT,O
35819,,information,NN,O
35820,,.,.,O
35821,1902,Also,RB,O
35822,,on,IN,O
35823,,display,NN,O
35824,,are,VBP,O
35825,,weapons,NNS,O
35826,,made,VBN,O
35827,,by,IN,O
35828,,inmates,NNS,B-SUBJ
35829,,including,VBG,O
35830,,a,DT,O
35831,,zip,NN,O
35832,,gun,NN,O
35833,,",",",",O
35834,,shanks,NNS,O
35835,,",",",",O
35836,,two,CD,O
35837,,sawed-off,JJ,O
35838,,shotguns,NNS,B-OBJ
35839,,",",",",O
35840,,as,RB,O
35841,,well,RB,O
35842,,as,IN,O
35843,,other,JJ,O
35844,,items,NNS,O
35845,,such,JJ,O
35846,,as,IN,O
35847,,masks,NNS,O
35848,,and,CC,O
35849,,an,DT,O
35850,,alcohol,NN,O
35851,,still,RB,O
35852,,.,.,O
35853,1903,I,PRP,O
35854,,made,VBD,O
35855,,the,DT,O
35856,,carpet,NN,B-SUBJ
35857,,by,IN,O
35858,,cutting,VBG,O
35859,,a,DT,O
35860,,knitting,JJ,O
35861,,wool,NN,O
35862,,into,IN,O
35863,,short,JJ,O
35864,,strips,NNS,B-OBJ
35865,,.,.,O
35866,1904,Here,RB,O
35867,,are,VBP,O
35868,,the,DT,O
35869,,news,NN,O
35870,,reports,NNS,O
35871,,and,CC,O
35872,,photographs,NNS,O
35873,,of,IN,O
35874,,the,DT,O
35875,,devastations,NNS,B-SUBJ
35876,,caused,VBN,O
35877,,by,IN,O
35878,,the,DT,O
35879,,storm,NN,B-OBJ
35880,,.,.,O
35881,1905,This,DT,O
35882,,technique,NN,B-SUBJ
35883,,has,VBZ,O
35884,,been,VBN,O
35885,,clearly,RB,O
35886,,explained,VBN,O
35887,,in,IN,O
35888,,a,DT,O
35889,,previous,JJ,O
35890,,issue,NN,B-OBJ
35891,,of,IN,O
35892,,this,DT,O
35893,,magazine,NN,O
35894,,.,.,O
35895,1906,Control,NNP,O
35896,,is,VBZ,O
35897,,a,DT,O
35898,,process,NN,B-SUBJ
35899,,that,WDT,O
35900,,employs,VBZ,O
35901,,a,DT,O
35902,,set,NN,O
35903,,of,IN,O
35904,,procedures,NNS,B-OBJ
35905,,to,TO,O
35906,,ensure,VB,O
35907,,that,IN,O
35908,,defined,JJ,O
35909,,quality,NN,O
35910,,standards,NNS,O
35911,,are,VBP,O
35912,,met,VBN,O
35913,,on,IN,O
35914,,a,DT,O
35915,,consistent,JJ,O
35916,,basis,NN,O
35917,,.,.,O
35918,1907,Several,JJ,O
35919,,chapters,NNS,B-SUBJ
35920,,of,IN,O
35921,,the,DT,O
35922,,book,NN,O
35923,,are,VBP,O
35924,,devoted,VBN,O
35925,,to,TO,O
35926,,the,DT,O
35927,,relationships,NNS,B-OBJ
35928,,between,IN,O
35929,,ethics,NNS,O
35930,,and,CC,O
35931,,justice,NN,O
35932,,.,.,O
35933,1908,The,DT,O
35934,,steel,NN,O
35935,,Z-shaped,JJ,O
35936,,stent,NN,B-SUBJ
35937,,was,VBD,O
35938,,made,VBN,O
35939,,with,IN,O
35940,,a,DT,O
35941,,steel,NN,O
35942,,guide,NN,O
35943,,wire,NN,B-OBJ
35944,,-LRB-,-LRB-,O
35945,,0.2,CD,O
35946,,mm,NN,O
35947,,in,IN,O
35948,,diameter,NN,O
35949,,-RRB-,-RRB-,O
35950,,",",",",O
35951,,covered,VBN,O
35952,,with,IN,O
35953,,the,DT,O
35954,,vascular,NN,O
35955,,graft,NN,O
35956,,",",",",O
35957,,and,CC,O
35958,,fixed,VBN,O
35959,,to,TO,O
35960,,the,DT,O
35961,,graft,NN,O
35962,,wall,NN,O
35963,,with,IN,O
35964,,multiple,JJ,O
35965,,interrupted,JJ,O
35966,,sutures,NNS,O
35967,,.,.,O
35968,1909,Literary,NNP,O
35969,,critics,NNS,O
35970,,have,VBP,O
35971,,examined,VBN,O
35972,,many,JJ,O
35973,,themes,NNS,B-SUBJ
35974,,in,IN,O
35975,,the,DT,O
35976,,novel,NN,B-OBJ
35977,,.,.,O
35978,1910,Crime,NN,B-SUBJ
35979,,fiction,NN,B-OBJ
35980,,is,VBZ,O
35981,,a,DT,O
35982,,typically,RB,O
35983,,19th,JJ,O
35984,,and,CC,O
35985,,20th,JJ,O
35986,,century,NN,O
35987,,genre,NN,O
35988,,",",",",O
35989,,dominated,VBN,O
35990,,by,IN,O
35991,,British,JJ,O
35992,,and,CC,O
35993,,American,JJ,O
35994,,writers,NNS,O
35995,,.,.,O
35996,1911,A,DT,O
35997,,sample,NN,B-SUBJ
35998,,was,VBD,O
35999,,sealed,VBN,O
36000,,in,IN,O
36001,,a,DT,O
